name,slug,source,page,type,type_code,rarity,tier,attunement,attunement_req,wondrous,weight,value_gp,has_spells,entries_json,srd
Feed (per day),feed-per-day,XPHB,230,Tack and Harness,TAH,none,,0,,0,10,0.05,0,[],1
"Figurine of Wondrous Power, Bronze Griffon",figurine-of-wondrous-power-bronze-griffon,XDMG,261,Wondrous Item,WON,rare,,0,,1,,,0,"[""A {@item Figurine of Wondrous Power|XDMG} is a statuette small enough to fit in a pocket. If you take a {@action Magic|XPHB} action to throw the figurine to a point on the ground within 60 feet of yourself, the figurine becomes a living creature specified in the figurine's description below. If the space where the creature would appear is occupied by other creatures or objects, or if there isn't enough space for the creature, the figurine doesn't become a creature."", ""The creature is {@variantrule Friendly [Attitude]|XPHB|Friendly} to you and your allies. It understands your languages, obeys your commands, and takes its turn immediately after you on your {@variantrule Initiative|XPHB} count. If you issue no commands, the creature defends itself but takes no other actions."", ""The creature exists for a duration specific to each figurine. At the end of the duration, the creature reverts to its figurine form. It reverts to a figurine early if its creature form drops to 0 {@variantrule Hit Points|XPHB} or if you take a {@action Magic|XPHB} action while touching the creature to make it revert to figurine form. When the creature becomes a figurine again, its property can't be used again until a certain amount of time has passed, as specified below."", {""type"": ""entries"", ""name"": ""Bronze Griffon (Rare)"", ""entries"": [""This bronze statuette is of a griffon rampant. It can become a {@creature Griffon|XMM} for up to 6 hours. Once it has been used, it can't be used again until 5 days have passed.""]}]",1
"Figurine of Wondrous Power, Ebony Fly",figurine-of-wondrous-power-ebony-fly,XDMG,261,Wondrous Item,WON,rare,,0,,1,,,0,"[""A {@item Figurine of Wondrous Power|XDMG} is a statuette small enough to fit in a pocket. If you take a {@action Magic|XPHB} action to throw the figurine to a point on the ground within 60 feet of yourself, the figurine becomes a living creature specified in the figurine's description below. If the space where the creature would appear is occupied by other creatures or objects, or if there isn't enough space for the creature, the figurine doesn't become a creature."", ""The creature is {@variantrule Friendly [Attitude]|XPHB|Friendly} to you and your allies. It understands your languages, obeys your commands, and takes its turn immediately after you on your {@variantrule Initiative|XPHB} count. If you issue no commands, the creature defends itself but takes no other actions."", ""The creature exists for a duration specific to each figurine. At the end of the duration, the creature reverts to its figurine form. It reverts to a figurine early if its creature form drops to 0 {@variantrule Hit Points|XPHB} or if you take a {@action Magic|XPHB} action while touching the creature to make it revert to figurine form. When the creature becomes a figurine again, its property can't be used again until a certain amount of time has passed, as specified below."", {""type"": ""entries"", ""name"": ""Ebony Fly (Rare)"", ""entries"": [""This ebony statuette, carved in the likeness of a horsefly, can become a {@creature Giant Fly|XDMG} for up to 12 hours and can be ridden as a mount. Once it has been used, it can't be used again until 2 days have passed.""]}]",1
"Figurine of Wondrous Power, Golden Lions",figurine-of-wondrous-power-golden-lions,XDMG,261,Wondrous Item,WON,rare,,0,,1,,,0,"[""A {@item Figurine of Wondrous Power|XDMG} is a statuette small enough to fit in a pocket. If you take a {@action Magic|XPHB} action to throw the figurine to a point on the ground within 60 feet of yourself, the figurine becomes a living creature specified in the figurine's description below. If the space where the creature would appear is occupied by other creatures or objects, or if there isn't enough space for the creature, the figurine doesn't become a creature."", ""The creature is {@variantrule Friendly [Attitude]|XPHB|Friendly} to you and your allies. It understands your languages, obeys your commands, and takes its turn immediately after you on your {@variantrule Initiative|XPHB} count. If you issue no commands, the creature defends itself but takes no other actions."", ""The creature exists for a duration specific to each figurine. At the end of the duration, the creature reverts to its figurine form. It reverts to a figurine early if its creature form drops to 0 {@variantrule Hit Points|XPHB} or if you take a {@action Magic|XPHB} action while touching the creature to make it revert to figurine form. When the creature becomes a figurine again, its property can't be used again until a certain amount of time has passed, as specified below."", {""type"": ""entries"", ""name"": ""Golden Lions (Rare)"", ""entries"": [""These gold statuettes of lions are always created in pairs. You can use one figurine or both simultaneously. Each can become a {@creature Lion|XMM} for up to 1 hour. Once a lion has been used, it can't be used again until 7 days have passed.""]}]",1
"Figurine of Wondrous Power, Ivory Goats",figurine-of-wondrous-power-ivory-goats,XDMG,261,Wondrous Item,WON,rare,,0,,1,,,0,"[""A {@item Figurine of Wondrous Power|XDMG} is a statuette small enough to fit in a pocket. If you take a {@action Magic|XPHB} action to throw the figurine to a point on the ground within 60 feet of yourself, the figurine becomes a living creature specified in the figurine's description below. If the space where the creature would appear is occupied by other creatures or objects, or if there isn't enough space for the creature, the figurine doesn't become a creature."", ""The creature is {@variantrule Friendly [Attitude]|XPHB|Friendly} to you and your allies. It understands your languages, obeys your commands, and takes its turn immediately after you on your {@variantrule Initiative|XPHB} count. If you issue no commands, the creature defends itself but takes no other actions."", ""The creature exists for a duration specific to each figurine. At the end of the duration, the creature reverts to its figurine form. It reverts to a figurine early if its creature form drops to 0 {@variantrule Hit Points|XPHB} or if you take a {@action Magic|XPHB} action while touching the creature to make it revert to figurine form. When the creature becomes a figurine again, its property can't be used again until a certain amount of time has passed, as specified below."", {""type"": ""entries"", ""name"": ""Ivory Goats (Rare)"", ""entries"": [""These ivory statuettes of goats are always created in sets of three. Each goat looks unique and functions differently from the others. Their properties are as follows:"", {""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""type"": ""item"", ""name"": ""Goat of Terror"", ""entries"": [""This figurine can become a {@creature Giant Goat|XMM} for up to 3 hours. The goat can't attack, but you can (harmlessly) remove its horns and use them as weapons. One horn becomes a {@item +1 Lance|XDMG}, and the other becomes a {@item +2 Longsword|XDMG}. Removing a horn requires a {@action Magic|XPHB} action, and the weapons disappear and the horns return when the goat reverts to figurine form. While you ride the goat, any {@variantrule Hostile [Attitude]|XPHB|Hostile} creature that starts its turn within a 30-foot {@variantrule Emanation [Area of Effect]|XPHB|Emanation} originating from the goat must succeed on a {@dc 15} Wisdom saving throw or have the {@condition Frightened|XPHB} condition for 1 minute, until you are no longer riding the goat, or until the goat reverts to figurine form. The {@condition Frightened|XPHB} creature repeats the save at the end of each of its turns, ending the effect on itself on a success. Once it succeeds on the save, a creature is immune to this effect for the next 24 hours. Once the figurine has been used, it can't be used again until 15 days have passed.""]}, {""type"": ""item"", ""name"": ""Goat of Traveling"", ""entries"": [""This figurine can become a Large goat with the same statistics as a {@creature Riding Horse|XMM}. It has 24 charges, and each hour or portion thereof it spends in goat form costs 1 charge. While it has charges, you can use it as often as you wish. When it runs out of charges, it reverts to a figurine and can't be used again until 7 days have passed, when it regains all expended charges.""]}, {""type"": ""item"", ""name"": ""Goat of Travail"", ""entries"": [""This figurine can become a {@creature Giant Goat|XMM} for up to 3 hours. Once it has been used, it can't be used again until 30 days have passed.""]}]}]}]",1
"Figurine of Wondrous Power, Marble Elephant",figurine-of-wondrous-power-marble-elephant,XDMG,261,Wondrous Item,WON,rare,,0,,1,,,0,"[""A {@item Figurine of Wondrous Power|XDMG} is a statuette small enough to fit in a pocket. If you take a {@action Magic|XPHB} action to throw the figurine to a point on the ground within 60 feet of yourself, the figurine becomes a living creature specified in the figurine's description below. If the space where the creature would appear is occupied by other creatures or objects, or if there isn't enough space for the creature, the figurine doesn't become a creature."", ""The creature is {@variantrule Friendly [Attitude]|XPHB|Friendly} to you and your allies. It understands your languages, obeys your commands, and takes its turn immediately after you on your {@variantrule Initiative|XPHB} count. If you issue no commands, the creature defends itself but takes no other actions."", ""The creature exists for a duration specific to each figurine. At the end of the duration, the creature reverts to its figurine form. It reverts to a figurine early if its creature form drops to 0 {@variantrule Hit Points|XPHB} or if you take a {@action Magic|XPHB} action while touching the creature to make it revert to figurine form. When the creature becomes a figurine again, its property can't be used again until a certain amount of time has passed, as specified below."", {""type"": ""entries"", ""name"": ""Marble Elephant (Rare)"", ""entries"": [""This marble statuette resembles a trumpeting elephant. It can become an {@creature Elephant|XMM} for up to 24 hours. Once it has been used, it can't be used again until 7 days have passed.""]}]",1
"Figurine of Wondrous Power, Obsidian Steed",figurine-of-wondrous-power-obsidian-steed,XDMG,261,Wondrous Item,WON,very rare,,0,,1,,,0,"[""A {@item Figurine of Wondrous Power|XDMG} is a statuette small enough to fit in a pocket. If you take a {@action Magic|XPHB} action to throw the figurine to a point on the ground within 60 feet of yourself, the figurine becomes a living creature specified in the figurine's description below. If the space where the creature would appear is occupied by other creatures or objects, or if there isn't enough space for the creature, the figurine doesn't become a creature."", ""The creature is {@variantrule Friendly [Attitude]|XPHB|Friendly} to you and your allies. It understands your languages, obeys your commands, and takes its turn immediately after you on your {@variantrule Initiative|XPHB} count. If you issue no commands, the creature defends itself but takes no other actions."", ""The creature exists for a duration specific to each figurine. At the end of the duration, the creature reverts to its figurine form. It reverts to a figurine early if its creature form drops to 0 {@variantrule Hit Points|XPHB} or if you take a {@action Magic|XPHB} action while touching the creature to make it revert to figurine form. When the creature becomes a figurine again, its property can't be used again until a certain amount of time has passed, as specified below."", {""type"": ""entries"", ""name"": ""Obsidian Steed (Very Rare)"", ""entries"": [""This polished obsidian horse can become a {@creature Nightmare|XMM} for up to 24 hours. The nightmare fights only to defend itself. Once it has been used, it can't be used again until 5 days have passed."", ""The figurine has a {@chance 10} chance each time you use it to ignore your orders, including a command to revert to figurine form. If you mount the nightmare while it is ignoring your orders, you and the nightmare are instantly transported to a random location on the plane of Hades, where the nightmare reverts to figurine form.""]}]",1
"Figurine of Wondrous Power, Onyx Dog",figurine-of-wondrous-power-onyx-dog,XDMG,261,Wondrous Item,WON,rare,,0,,1,,,0,"[""A {@item Figurine of Wondrous Power|XDMG} is a statuette small enough to fit in a pocket. If you take a {@action Magic|XPHB} action to throw the figurine to a point on the ground within 60 feet of yourself, the figurine becomes a living creature specified in the figurine's description below. If the space where the creature would appear is occupied by other creatures or objects, or if there isn't enough space for the creature, the figurine doesn't become a creature."", ""The creature is {@variantrule Friendly [Attitude]|XPHB|Friendly} to you and your allies. It understands your languages, obeys your commands, and takes its turn immediately after you on your {@variantrule Initiative|XPHB} count. If you issue no commands, the creature defends itself but takes no other actions."", ""The creature exists for a duration specific to each figurine. At the end of the duration, the creature reverts to its figurine form. It reverts to a figurine early if its creature form drops to 0 {@variantrule Hit Points|XPHB} or if you take a {@action Magic|XPHB} action while touching the creature to make it revert to figurine form. When the creature becomes a figurine again, its property can't be used again until a certain amount of time has passed, as specified below."", {""type"": ""entries"", ""name"": ""Onyx Dog (Rare)"", ""entries"": [""This onyx statuette of a dog can become a {@creature Mastiff|XMM} for up to 6 hours. The mastiff has an Intelligence of 8 and can speak Common. It also has {@sense Blindsight|XPHB} with a range of 60 feet. Once it has been used, it can't be used again until 7 days have passed.""]}]",1
"Figurine of Wondrous Power, Serpentine Owl",figurine-of-wondrous-power-serpentine-owl,XDMG,261,Wondrous Item,WON,rare,,0,,1,,,0,"[""A {@item Figurine of Wondrous Power|XDMG} is a statuette small enough to fit in a pocket. If you take a {@action Magic|XPHB} action to throw the figurine to a point on the ground within 60 feet of yourself, the figurine becomes a living creature specified in the figurine's description below. If the space where the creature would appear is occupied by other creatures or objects, or if there isn't enough space for the creature, the figurine doesn't become a creature."", ""The creature is {@variantrule Friendly [Attitude]|XPHB|Friendly} to you and your allies. It understands your languages, obeys your commands, and takes its turn immediately after you on your {@variantrule Initiative|XPHB} count. If you issue no commands, the creature defends itself but takes no other actions."", ""The creature exists for a duration specific to each figurine. At the end of the duration, the creature reverts to its figurine form. It reverts to a figurine early if its creature form drops to 0 {@variantrule Hit Points|XPHB} or if you take a {@action Magic|XPHB} action while touching the creature to make it revert to figurine form. When the creature becomes a figurine again, its property can't be used again until a certain amount of time has passed, as specified below."", {""type"": ""entries"", ""name"": ""Serpentine Owl (Rare)"", ""entries"": [""This serpentine statuette of an owl can become a {@creature Giant Owl|XMM} for up to 8 hours. The owl can communicate telepathically with you at any range if you and it are on the same plane of existence. Once it has been used, it can't be used again until 2 days have passed.""]}]",1
"Figurine of Wondrous Power, Silver Raven",figurine-of-wondrous-power-silver-raven,XDMG,261,Wondrous Item,WON,uncommon,,0,,1,,,1,"[""A {@item Figurine of Wondrous Power|XDMG} is a statuette small enough to fit in a pocket. If you take a {@action Magic|XPHB} action to throw the figurine to a point on the ground within 60 feet of yourself, the figurine becomes a living creature specified in the figurine's description below. If the space where the creature would appear is occupied by other creatures or objects, or if there isn't enough space for the creature, the figurine doesn't become a creature."", ""The creature is {@variantrule Friendly [Attitude]|XPHB|Friendly} to you and your allies. It understands your languages, obeys your commands, and takes its turn immediately after you on your {@variantrule Initiative|XPHB} count. If you issue no commands, the creature defends itself but takes no other actions."", ""The creature exists for a duration specific to each figurine. At the end of the duration, the creature reverts to its figurine form. It reverts to a figurine early if its creature form drops to 0 {@variantrule Hit Points|XPHB} or if you take a {@action Magic|XPHB} action while touching the creature to make it revert to figurine form. When the creature becomes a figurine again, its property can't be used again until a certain amount of time has passed, as specified below."", {""type"": ""entries"", ""name"": ""Silver Raven (Uncommon)"", ""entries"": [""This silver statuette of a raven can become a {@creature Raven|XMM} for up to 12 hours. Once it has been used, it can't be used again until 2 days have passed. While in raven form, the figurine grants you the ability to cast {@spell Animal Messenger|XPHB} on it.""]}]",1
Fine Clothes,fine-clothes,XPHB,225,Adventuring Gear,G,none,,0,,0,6,15.0,0,"[""Fine Clothes are made of expensive fabrics and adorned with expertly crafted details. Some events and locations admit only people wearing these clothes.""]",1
Fine Wine (bottle),fine-wine-bottle,XPHB,231,Food and Drink,FD,none,,0,,0,,10.0,0,[],1
Flask,flask,XPHB,225,Adventuring Gear,G,none,,0,,0,1,0.02,0,"[""A Flask holds up to 1 pint.""]",1
Flour,flour,XDMG,213,Trade Good,TG,none,,0,,0,2,0.02,0,[],1
Folding Boat,folding-boat,XDMG,263,Wondrous Item,WON,rare,,0,,1,4,,0,"[""This object appears as a wooden box that measures 12 inches long, 6 inches wide, and 6 inches deep. It weighs 4 pounds and floats. It can be opened to store items inside. This item also has three command words, each requiring a {@action Magic|XPHB} action to use:"", {""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""type"": ""item"", ""name"": ""First Command Word"", ""entries"": [""The box unfolds into a Rowboat.""]}, {""type"": ""item"", ""name"": ""Second Command Word"", ""entries"": [""The box unfolds into a Keelboat.""]}, {""type"": ""item"", ""name"": ""Third Command Word"", ""entries"": [""The Folding Boat folds back into a box if no creatures are aboard. Any objects in the vessel that can't fit inside the box remain outside the box as it folds. Any objects in the vessel that can fit inside the box do so.""]}]}, ""When the box becomes a vessel, its weight becomes that of a normal vessel its size, and anything that was stored in the box remains in the boat."", ""Statistics for the {@item Rowboat|XPHB} and {@item Keelboat|XPHB} appear in the {@book Player's Handbook|XPHB}. If either vessel is reduced to 0 {@variantrule Hit Points|XPHB}, the Folding Boat is destroyed.""]",1
Forgery Kit,forgery-kit,XPHB,221,Tools,T,none,,0,,0,5,15.0,0,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Dexterity""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Mimic 10 or fewer words of someone else's handwriting ({@dc 15}), or duplicate a wax seal ({@dc 20})""]}]}]",1
Galley,galley,XPHB,230,Ship,SHP,none,,0,,0,,30000.0,0,[],1
Gauntlets of Ogre Power,gauntlets-of-ogre-power,XDMG,264,Wondrous Item,WON,uncommon,,1,,1,,,0,"[""Your Strength score is 19 while you wear these gauntlets. They have no effect on you if your Strength is 19 or higher without them.""]",1
Gem of Brightness,gem-of-brightness,XDMG,264,Wondrous Item,WON,uncommon,,0,,1,,,0,"[""This prism has 50 charges. While you are holding it, you can take a {@action Magic|XPHB} action and use one of three command words to cause one of the following effects:"", {""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""type"": ""item"", ""name"": ""First Command Word"", ""entries"": [""The gem sheds {@variantrule Bright Light|XPHB} in a 30-foot radius and {@variantrule Dim Light|XPHB} for an additional 30 feet. This effect doesn't expend a charge. It lasts until you take a {@variantrule Bonus Action|XPHB} to repeat the command word or until you use another function of the gem.""]}, {""type"": ""item"", ""name"": ""Second Command Word"", ""entries"": [""You expend 1 charge and cause the gem to fire a brilliant beam of light at one creature you can see within 60 feet of yourself. The creature must succeed on a {@dc 15} Constitution saving throw or have the {@condition Blinded|XPHB} condition for 1 minute. The creature repeats the save at the end of each of its turns, ending the effect on itself on a success.""]}, {""type"": ""item"", ""name"": ""Third Command Word"", ""entries"": [""You expend 5 charges and cause the gem to flare with intense light in a 30-foot {@variantrule Cone [Area of Effect]|XPHB|Cone}. Each creature in the {@variantrule Cone [Area of Effect]|XPHB|Cone} makes a saving throw as if struck by the beam created with the second command word.""]}]}, ""When all of the gem's charges are expended, the gem becomes a nonmagical jewel worth 50 GP.""]",1
Gem of Seeing,gem-of-seeing,XDMG,264,Wondrous Item,WON,rare,,1,,1,,,0,"[""This gem has 3 charges. As a {@action Magic|XPHB} action, you can expend 1 charge. For the next 10 minutes, you have {@sense Truesight|XPHB} out to 120 feet when you peer through the gem."", ""The gem regains {@dice 1d3} expended charges daily at dawn.""]",1
Ginger,ginger,XDMG,213,Trade Good,TG,none,,0,,0,1,1.0,0,[],1
Glamoured Studded Leather,glamoured-studded-leather,XDMG,264,Light Armor,LA,rare,,0,,0,13,,0,"[""While wearing this armor, you gain a +1 bonus to {@variantrule Armor Class|XPHB}. You can also take a {@variantrule Bonus Action|XPHB} to cause the armor to assume the appearance of a normal set of clothing or some other kind of armor. You decide what it looks like\u2014including color, style, and accessories\u2014but the armor retains its normal bulk and weight. The illusory appearance lasts until you use this property again or doff the armor.""]",1
Glass Bottle,glass-bottle,XPHB,224,Adventuring Gear,G,none,,0,,0,2,2.0,0,"[""A Glass Bottle holds up to 1\u00bd pints.""]",1
Gloves of Missile Snaring,gloves-of-missile-snaring,XDMG,265,Wondrous Item,WON,uncommon,,1,,1,,,0,"[""If you're hit by an attack roll made with a Ranged or Thrown weapon while wearing these gloves, you can take a {@variantrule Reaction|XPHB} to reduce the damage by {@dice 1d10} plus your Dexterity modifier if you have a free hand. If you reduce the damage to 0, you can catch the ammunition or weapon if it is small enough for you to hold in that hand.""]",1
Gloves of Swimming and Climbing,gloves-of-swimming-and-climbing,XDMG,265,Wondrous Item,WON,uncommon,,1,,1,,,0,"[""While wearing these gloves, climbing and swimming don't cost you extra movement, and you gain a +5 bonus to Strength ({@skill Athletics|XPHB}) checks made to climb or swim.""]",1
Gloves of Thievery,gloves-of-thievery,XDMG,265,Wondrous Item,WON,uncommon,,0,,1,,,0,"[""These gloves are imperceptible while worn. While wearing them, you gain a +5 bonus to Dexterity ({@skill Sleight of Hand|XPHB}) checks.""]",1
Goat,goat,XDMG,213,Trade Good,TG,none,,0,,0,,1.0,0,[],1
Goggles of Night,goggles-of-night,XDMG,265,Wondrous Item,WON,uncommon,,0,,1,,,0,"[""While wearing these dark lenses, you have {@sense Darkvision|XPHB} out to 60 feet. If you already have {@sense Darkvision|XPHB}, wearing the goggles increases its range by 60 feet.""]",1
Gold,gold,XDMG,213,Trade Good,TG,none,,0,,0,1,50.0,0,[],1
Gold Dragon Scale Mail,gold-dragon-scale-mail,XDMG,254,Medium Armor,MA,very rare,,1,,0,45,,0,"[""{#itemEntry Dragon Scale Mail|XDMG}""]",1
Grappling Hook,grappling-hook,XPHB,225,Adventuring Gear,G,none,,0,,0,4,2.0,0,"[""As a {@action Utilize|XPHB} action, you can throw the Grappling Hook at a railing, a ledge, or another catch within 50 feet of yourself, and the hook catches on if you succeed on a {@dc 13} Dexterity ({@skill Acrobatics|XPHB}) check. If you tied a Rope to the hook, you can then climb it.""]",1
Green Dragon Scale Mail,green-dragon-scale-mail,XDMG,254,Medium Armor,MA,very rare,,1,,0,45,,0,"[""{#itemEntry Dragon Scale Mail|XDMG}""]",1
Hat of Disguise,hat-of-disguise,XDMG,266,Wondrous Item,WON,uncommon,,1,,1,,,1,"[""While wearing this hat, you can cast the {@spell Disguise Self|XPHB} spell. The spell ends if the hat is removed.""]",1
Hat of Many Spells,hat-of-many-spells,XDMG,266,Spellcasting Focus,SCF,very rare,,1,by a wizard,1,,,1,"[""This pointed hat has the following properties."", {""type"": ""entries"", ""name"": ""Spellcasting Focus"", ""entries"": [""While holding the hat, you can use it as a {@variantrule Spellcasting Focus|XPHB} for your Wizard spells. Any spell you cast using the hat gains a special Somatic component: you must reach into the hat and \""pull\"" the spell out of it.""]}, {""type"": ""entries"", ""name"": ""Unknown Spell"", ""entries"": [""While holding the hat, you can try to cast a level 1+ spell you don't know. The spell must be on the Wizard spell list, it must be of a level you can cast, and it can't have Material components costing more than 1,000 GP. Once you decide on the spell, you must expend a spell slot of the spell's level. Then, to determine whether you cast the spell, make an Intelligence ({@skill Arcana|XPHB}) check ({@dc 10} plus the spell's level). On a successful check, you cast the spell using its normal casting time, and you can't use this property again until you finish a {@variantrule Short Rest|XPHB|Short} or {@variantrule Long Rest|XPHB}. On a failed check, you fail to cast the spell and a random effect occurs instead, determined by rolling on the following table."", ""Any spell you cast from the hat uses your spell save DC and spell attack bonus."", {""type"": ""table"", ""colStyles"": [""col-2 text-center"", ""col-10""], ""colLabels"": [""1d100"", ""Effect""], ""rows"": [[""01-50"", ""You cast a random spell determined by rolling {@dice 1d10}: on a {@b 1}, {@spell Enlarge/Reduce|XPHB} (enlarge effect); on a {@b 2}, {@spell Enlarge/Reduce|XPHB} (reduce effect); on a {@b 3}, {@spell Faerie Fire|XPHB}; on a {@b 4}, {@spell Fireball|XPHB}; on a {@b 5}, {@spell Gust of Wind|XPHB}; on a {@b 6}, {@spell Invisibility|XPHB} (cast on yourself); on a {@b 7}, {@spell Lightning Bolt|XPHB}; on an {@b 8}, {@spell Phantasmal Force|XPHB}; on a {@b 9}, {@spell Polymorph|XPHB}; on a {@b 10}, {@spell Stinking Cloud|XPHB}.""], [""51-55"", ""You have the {@condition Stunned|XPHB} condition until the end of your next turn, believing something awesome just happened.""], [""56-60"", ""A harmless swarm of butterflies fills a 10-foot {@variantrule Cube [Area of Effect]|XPHB|Cube} within 30 feet of yourself. The swarm disperses after 1 minute.""], [""61-65"", ""You pull a nonmagical object out of the hat. Roll {@dice 1d4} to determine the object: on a {@b 1}, a vial of Acid; on a {@b 2}, a flask of Alchemist's Fire; on a {@b 3}, a Crowbar; on a {@b 4}, a lit Torch.""], [""66-70"", ""You suffer a bout of \""magic sickness\"" and have the {@condition Poisoned|XPHB} condition for 1 hour.""], [""71-75"", ""You have the {@condition Petrified|XPHB} condition until the end of your next turn.""], [""76-80"", ""You pull a nonmagical object out of the hat. Roll {@dice 1d4} to determine the object: on a {@b 1}, a {@item Dagger|XPHB}; on a {@b 2}, a {@item Rope|XPHB} with a {@item Grappling Hook|XPHB} tied to one end; on a {@b 3}, a bag of {@item Caltrops|XPHB}; on a {@b 4}, a gem worth 50 GP.""], [""81-85"", ""A creature appears in an unoccupied space as close to you as possible. The creature isn't under your control and acts as it normally would, and it disappears after 1 hour or when it drops to 0 {@variantrule Hit Points|XPHB}. Roll {@dice 1d4} to determine the creature: on a {@b 1}, a {@creature Camel|XMM}; on a {@b 2}, a {@creature Constrictor Snake|XMM}; on a {@b 3}, an {@creature Elephant|XMM}; on a {@b 4}, a {@creature Mule|XMM}.""], [""86-90"", ""A {@variantrule Hostile [Attitude]|XPHB|Hostile} {@creature Swarm of Bats|XMM} flies out of the hat, occupies your space, and attacks you.""], [""91-95"", ""A vertical, 10-foot-diameter, two-way portal to another plane of existence opens in an unoccupied space within 30 feet of you and remains open until the end of your next turn. The DM determines where it leads.""], [""96-00"", ""You pull a magic item out of the hat. Roll {@dice 1d6} to determine the item's rarity: on a {@b 1-3}, {@filter Common|items|rarity=Common}; on a {@b 4-5}, {@filter Uncommon|items|rarity=Uncommon}; on a {@b 6}, {@filter Rare|items|rarity=Rare}. The DM chooses the item, which disappears after 1 hour if it's not consumed or destroyed before then.""]]}]}]",1
Headband of Intellect,headband-of-intellect,XDMG,268,Wondrous Item,WON,uncommon,,1,,1,,,0,"[""Your Intelligence score is 19 while you wear this headband. It has no effect on you if your Intelligence is 19 or higher without it.""]",1
Healer's Kit,healer-s-kit,XPHB,225,Adventuring Gear,G,none,,0,,0,3,5.0,0,"[""A Healer's Kit has ten uses. As a {@action Utilize|XPHB} action, you can expend one of its uses to stabilize an {@condition Unconscious|XPHB} creature that has 0 {@variantrule Hit Points|XPHB} without needing to make a Wisdom ({@skill Medicine|XPHB}) check.""]",1
Helm of Brilliance,helm-of-brilliance,XDMG,268,Wondrous Item,WON,very rare,,1,,1,,,1,"[""This helm is set with {@dice 1d10} diamonds, {@dice 2d10} rubies, {@dice 3d10} fire opals, and {@dice 4d10} opals. Any gem pried from the helm crumbles to dust. When all the gems are removed or destroyed, the helm loses its magic."", ""You gain the following benefits while wearing the helm."", {""type"": ""entries"", ""name"": ""Diamond Light"", ""entries"": [""As long as it has at least one diamond, the helm emits a 30-foot {@variantrule Emanation [Area of Effect]|XPHB|Emanation}. When at least one Undead is within that area, the {@variantrule Emanation [Area of Effect]|XPHB|Emanation} is filled with {@variantrule Dim Light|XPHB}. Any Undead that starts its turn in that area takes {@damage 1d6} Radiant damage.""]}, {""type"": ""entries"", ""name"": ""Fire Opal Flames"", ""entries"": [""As long as the helm has at least one fire opal, you can take a {@action Magic|XPHB} action to cause one weapon you are holding to burst into flames. The flames emit {@variantrule Bright Light|XPHB} in a 10-foot radius and {@variantrule Dim Light|XPHB} for an additional 10 feet. The flames are harmless to you and the weapon. When you hit with an attack using the blazing weapon, the target takes an extra {@damage 1d6} Fire damage. The flames last until you take a {@variantrule Bonus Action|XPHB} to extinguish them or until you drop or stow the weapon.""]}, {""type"": ""entries"", ""name"": ""Ruby Resistance"", ""entries"": [""As long as the helm has at least one ruby, you have {@variantrule Resistance|XPHB} to Fire damage.""]}, {""type"": ""entries"", ""name"": ""Spells"", ""entries"": [""You can cast one of the following spells (save {@dc 18}), using one of the helm's gems of the specified type as a component: {@spell Daylight|XPHB} (opal), {@spell Fireball|XPHB} (fire opal), {@spell Prismatic Spray|XPHB} (diamond), or {@spell Wall of Fire|XPHB} (ruby). The gem is destroyed when the spell is cast and disappears from the helm.""]}, {""type"": ""entries"", ""name"": ""Taking Fire Damage"", ""entries"": [""Roll {@dice 1d20} if you are wearing the helm and take Fire damage as a result of failing a saving throw against a spell. On a roll of 1, the helm emits beams of light from its remaining gems and is then destroyed. Each creature within a 60-foot {@variantrule Emanation [Area of Effect]|XPHB|Emanation} originating from you must succeed on a {@dc 17} Dexterity saving throw or be struck by a beam, taking Radiant damage equal to the number of gems in the helm.""]}]",1
Helm of Comprehending Languages,helm-of-comprehending-languages,XDMG,268,Wondrous Item,WON,uncommon,,0,,1,,,1,"[""While wearing this helm, you can cast {@spell Comprehend Languages|XPHB} from it.""]",1
Helm of Telepathy,helm-of-telepathy,XDMG,268,Wondrous Item,WON,uncommon,,1,,1,,,1,"[""While wearing this helm, you have telepathy with a range of 30 feet, and you can cast {@spell Detect Thoughts|XPHB} or {@spell Suggestion|XPHB} (save {@dc 13}) from the helm. Once either spell is cast from the helm, that spell can't be cast from it again until the next dawn.""]",1
Helm of Teleportation,helm-of-teleportation,XDMG,268,Wondrous Item,WON,rare,,1,,1,,,1,"[""This helm has 3 charges. While wearing it, you can expend 1 charge to cast {@spell Teleport|XPHB} from it. The helm regains {@dice 1d3} expended charges daily at dawn.""]",1
Herbalism Kit,herbalism-kit,XPHB,221,Tools,T,none,,0,,0,3,5.0,0,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Intelligence""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Identify a plant ({@dc 10})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Antitoxin|XPHB}, {@item Candle|XPHB}, {@item Healer's Kit|XPHB}, {@item Potion of Healing|XDMG}""]}]}]",1
